ID,種別番号,配置座標X,配置座標Y,配置座標Z,移動方向,ステージ種別
1,0,870.0f,-150.0f,-1050.0f,0,2
2,0,0.0f,-150.0f,500.0f,0,2
3,0,0.0f,-150.0f,1775.0f,0,2
4,1,700.0f,-25.0f,600.0f,0,1
5,1,1780.0f,-25.0f,600.0f,1,1
6,1,1000.0f,-25.0f,1600.0f,1,1
7,1,-60.0f,-25.0f,1600.0f,0,1
8,1,-660.0f,-25.0f,1600.0f,2,1
9,1,1500.0f,-25.0f,5000.0f,1,1
10,1,500.0f,-25.0f,2500.0f,0,1
11,1,1600.0f,-25.0f,2500.0f,1,1
12,1,1550.0f,-25.0f,3000.0f,2,1
13,1,1550.0f,-25.0f,4000.0f,3,1
14,1,850.0f,-25.0f, 4000.0f,1,1
15,1,-200.0f,-25.0f,4000.0f,0,1
16,1,-200.0f,-25.0f,4600.0f,3,1
17,1,4210.0f,-25.0f,-1390.0f,1,1
18,1,360.0f,-25.0f,5000.0f,0,1
19,1,1200.0f,-25.0f,6000.0f,3,1
20,1,1400.0f,-25.0f,-1650.0f,2,2
21,1,1400.0f,-25.0f,-1000.0f,1,2
22,1,150.0f,-25.0f,-1050.0f,0,2
23,1,730.0f,-25.0f,550.0f,1,2
24,1,-730.0f,-25.0f,550.0f,0,2
25,1,825.0f,-25.0f,1770.0f,1,2
26,1,-850.0f,-25.0f,1770.0f,0,2
27,2,1260.0f,40.0f,8500.0f,0,1
28,2,-170.0f,40.0f,8500.0f,0,1
29,2,2800.0f,40.0f,8500.0f,0,1
30,2,-1630.0f,40.0f,6000.0f,0,2
31,2,1650.0f,40.0f,6000.0f,0,2
32,2,-210.0f,40.0f,7600.0f,0,2
33,3,1300.0f,700.0f,9000.0f,0,1
34,4,-870.0f,0.0f,-1050.0f,0,2
35,4,0.0f,0.0f,500.0f,0,2
36,4,0.0f,0.0f,1775.0f,0,2
37,5,0.0f,0.0f,0.0f,0,1
38,6,0.0f,0.0f,0.0f,0,1
34,7,-1050.0f,50.0f,-750.0f,0,1
40,8,30000.0f,300.0f,-3750.0f,0,1
